ID,KGE
1052500,0.842
1134500,0.789
1162500,0.787
1365000,0.795
1451800,0.858
1486000,0.66
1539000,0.59
1547700,0.7
1557500,0.827
1567500,0.67
1596500,0.808
1605500,0.699
1644000,0.722
1664000,0.796
2013000,0.653
2014000,0.852
2038850,0.622
2074500,0.441
2081500,0.709
2082950,0.666
2128000,0.616
2152100,0.502
2246000,0.723
2312200,0.769
2361000,0.737
2374500,0.718
2422500,0.735
2450250,0.807
2472000,0.81
2479300,0.797
2479560,0.849
3026500,0.836
3144000,0.754
3165000,0.738
3170000,0.831
3173000,0.82
3187500,0.883
3213700,0.827
3384450,0.772
3471500,0.753
3500000,0.82
3504000,0.784
4063700,0.595
4256000,0.844
5123400,0.235
5131500,0.759
5362000,0.71
5585000,0.753
5593575,0.861
6278300,0.779
6332515,-0.038
6352000,-1.032
6353000,-1.6
6409000,0.299
6746095,0.842
6814000,0.675
6847900,-0.03
6910800,0.884
6918460,0.678
6919500,0.863
6921200,0.811
7067000,0.767
7071500,0.672
7083000,0.843
7167500,0.586
7180500,0.825
7184000,0.898
8025500,0.51
8082700,0.04
8155200,0.561
8158810,0.572
8164300,0.774
8176900,0.346
8380500,0.622
9035900,0.89
9066000,0.8
9223000,0.84
9306242,0.038
9312600,0.719
9494000,0.709
9497800,0.4
9508300,0.525
10258500,-0.936
10259000,0.23
10343500,0.789
11237500,0.741
11264500,0.883
11473900,0.74
11481200,0.895
11523200,0.76
12025000,0.796
12048000,0.699
12167000,0.826
12175500,0.815
12358500,0.936
12488500,0.788
13338500,0.797
14137000,0.833
14166500,0.87
14309500,0.778
